num_date_time,answer
3 2020-08-29 06,5515
3 2020-08-29 07,5636
3 2020-08-29 08,5601
3 2020-08-29 09,5555
3 2020-08-29 10,5486
3 2020-08-29 11,5415
3 2020-08-29 12,5320
3 2020-08-29 13,5235
3 2020-08-29 14,5159
3 2020-08-29 15,5097
3 2020-08-29 16,5061
3 2020-08-29 17,5034
3 2020-08-29 18,5011
3 2020-08-29 19,4947
3 2020-08-29 20,4804
3 2020-08-29 21,4615
3 2020-08-29 22,4421
3 2020-08-29 23,4275
3 2020-08-30 00,4266
3 2020-08-30 01,4350
3 2020-08-30 02,4551
3 2020-08-30 03,4766
3 2020-08-30 04,5015
3 2020-08-30 05,5296
3 2020-08-30 06,5581
3 2020-08-30 07,5603
3 2020-08-30 08,5571
3 2020-08-30 09,5511
3 2020-08-30 10,5422
3 2020-08-30 11,5287
3 2020-08-30 12,5128
3 2020-08-30 13,4929
3 2020-08-30 14,4736
3 2020-08-30 15,4552
3 2020-08-30 16,4450
3 2020-08-30 17,4375
3 2020-08-30 18,4312
3 2020-08-30 19,4260
3 2020-08-30 20,4233
3 2020-08-30 21,4217
3 2020-08-30 22,4206
3 2020-08-30 23,4187
3 2020-08-31 00,4197
3 2020-08-31 01,4345
3 2020-08-31 02,4593
3 2020-08-31 03,4807
3 2020-08-31 04,4966
3 2020-08-31 05,5104
3 2020-08-31 06,5245
3 2020-08-31 07,5331
3 2020-08-31 08,5234
3 2020-08-31 09,5112
3 2020-08-31 10,4984
3 2020-08-31 11,4851
3 2020-08-31 12,4712
3 2020-08-31 13,4581
3 2020-08-31 14,4464
3 2020-08-31 15,4348
3 2020-08-31 16,4241
3 2020-08-31 17,4170
3 2020-08-31 18,4101
3 2020-08-31 19,4035
3 2020-08-31 20,3967
3 2020-08-31 21,3902
3 2020-08-31 22,3844
3 2020-08-31 23,3791
4 2020-08-25 00,6754
4 2020-08-25 01,6216
4 2020-08-25 02,5735
4 2020-08-25 03,5461
4 2020-08-25 04,5234
4 2020-08-25 05,5222
4 2020-08-25 06,5260
4 2020-08-25 07,5249
4 2020-08-25 08,5209
4 2020-08-25 09,5175
4 2020-08-25 10,5199
4 2020-08-25 11,5297
4 2020-08-25 12,5415
4 2020-08-25 13,5447
4 2020-08-25 14,5464
4 2020-08-25 15,5467
4 2020-08-25 16,5460
4 2020-08-25 17,5459
4 2020-08-25 18,5452
4 2020-08-25 19,5415
4 2020-08-25 20,5303
4 2020-08-25 21,5147
4 2020-08-25 22,5027
4 2020-08-25 23,4904
4 2020-08-26 00,4728
4 2020-08-26 01,4689
4 2020-08-26 02,4726
4 2020-08-26 03,4827
4 2020-08-26 04,4931
4 2020-08-26 05,4955
4 2020-08-26 06,4985
4 2020-08-26 07,5321
4 2020-08-26 08,5270
4 2020-08-26 09,5241
4 2020-08-26 10,5244
4 2020-08-26 11,5288
4 2020-08-26 12,5353
4 2020-08-26 13,5378
4 2020-08-26 14,5378
4 2020-08-26 15,5365
4 2020-08-26 16,5332
4 2020-08-26 17,5286
4 2020-08-26 18,5212
4 2020-08-26 19,5116
4 2020-08-26 20,5019
4 2020-08-26 21,4933
4 2020-08-26 22,4862
4 2020-08-26 23,4802
4 2020-08-27 00,4694
4 2020-08-27 01,4735
4 2020-08-27 02,4760
4 2020-08-27 03,4788
4 2020-08-27 04,4862
4 2020-08-27 05,4922
4 2020-08-27 06,4950
4 2020-08-27 07,5268
4 2020-08-27 08,5181
4 2020-08-27 09,5121
4 2020-08-27 10,5082
4 2020-08-27 11,5056
4 2020-08-27 12,5056
4 2020-08-27 13,5089
4 2020-08-27 14,5159
4 2020-08-27 15,5239
4 2020-08-27 16,5287
4 2020-08-27 17,5271
4 2020-08-27 18,5189
4 2020-08-27 19,5050
4 2020-08-27 20,4956
4 2020-08-27 21,4867
4 2020-08-27 22,4812
4 2020-08-27 23,4761
4 2020-08-28 00,4645
4 2020-08-28 01,4593
4 2020-08-28 02,4611
4 2020-08-28 03,4702
4 2020-08-28 04,4850
4 2020-08-28 05,4949
4 2020-08-28 06,5021
4 2020-08-28 07,5360
4 2020-08-28 08,5322
4 2020-08-28 09,5283
4 2020-08-28 10,5247
4 2020-08-28 11,5235
4 2020-08-28 12,5265
4 2020-08-28 13,5319
4 2020-08-28 14,5346
4 2020-08-28 15,5349
4 2020-08-28 16,5331
4 2020-08-28 17,5267
4 2020-08-28 18,5158
4 2020-08-28 19,5058
4 2020-08-28 20,4953
4 2020-08-28 21,4879
4 2020-08-28 22,4821
4 2020-08-28 23,4764
4 2020-08-29 00,4639
4 2020-08-29 01,4577
4 2020-08-29 02,4548
4 2020-08-29 03,4586
4 2020-08-29 04,4746
4 2020-08-29 05,4964
4 2020-08-29 06,5108
4 2020-08-29 07,5438
4 2020-08-29 08,5412
4 2020-08-29 09,5376
4 2020-08-29 10,5361
4 2020-08-29 11,5387
4 2020-08-29 12,5413
4 2020-08-29 13,5431
4 2020-08-29 14,5431
4 2020-08-29 15,5416
4 2020-08-29 16,5385
4 2020-08-29 17,5344
4 2020-08-29 18,5270
4 2020-08-29 19,5152
4 2020-08-29 20,5057
4 2020-08-29 21,4950
4 2020-08-29 22,4844
4 2020-08-29 23,4762
4 2020-08-30 00,4613
4 2020-08-30 01,4540
4 2020-08-30 02,4508
4 2020-08-30 03,4540
4 2020-08-30 04,4701
4 2020-08-30 05,4933
4 2020-08-30 06,5098
4 2020-08-30 07,5439
4 2020-08-30 08,5418
4 2020-08-30 09,5377
4 2020-08-30 10,5336
4 2020-08-30 11,5324
4 2020-08-30 12,5349
4 2020-08-30 13,5376
4 2020-08-30 14,5393
4 2020-08-30 15,5399
4 2020-08-30 16,5378
4 2020-08-30 17,5316
4 2020-08-30 18,5209
4 2020-08-30 19,5065
4 2020-08-30 20,4993
4 2020-08-30 21,4928
4 2020-08-30 22,4872
4 2020-08-30 23,4810
4 2020-08-31 00,4729
4 2020-08-31 01,4779
4 2020-08-31 02,4847
4 2020-08-31 03,4863
4 2020-08-31 04,4840
4 2020-08-31 05,4837
4 2020-08-31 06,4844
4 2020-08-31 07,5163
4 2020-08-31 08,5124
4 2020-08-31 09,5081
4 2020-08-31 10,5061
4 2020-08-31 11,5056
4 2020-08-31 12,5078
4 2020-08-31 13,5201
4 2020-08-31 14,5233
4 2020-08-31 15,5255
4 2020-08-31 16,5253
4 2020-08-31 17,5201
4 2020-08-31 18,5076
4 2020-08-31 19,4913
4 2020-08-31 20,4826
4 2020-08-31 21,4772
4 2020-08-31 22,4735
4 2020-08-31 23,4708
5 2020-08-25 00,6392
5 2020-08-25 01,6038
5 2020-08-25 02,5867
5 2020-08-25 03,5932
5 2020-08-25 04,6092
5 2020-08-25 05,6360
5 2020-08-25 06,6760
5 2020-08-25 07,7166
5 2020-08-25 08,7054
5 2020-08-25 09,6816
5 2020-08-25 10,6601
5 2020-08-25 11,6628
5 2020-08-25 12,6724
5 2020-08-25 13,6829
5 2020-08-25 14,6949
5 2020-08-25 15,7034
5 2020-08-25 16,7092
5 2020-08-25 17,7045
5 2020-08-25 18,6940
5 2020-08-25 19,6773
5 2020-08-25 20,6652
5 2020-08-25 21,6550
5 2020-08-25 22,6440
5 2020-08-25 23,6298
5 2020-08-26 00,6111
5 2020-08-26 01,6112
5 2020-08-26 02,6046
5 2020-08-26 03,6022
5 2020-08-26 04,6224
5 2020-08-26 05,6686
5 2020-08-26 06,7131
5 2020-08-26 07,7503
5 2020-08-26 08,7337
5 2020-08-26 09,7074
5 2020-08-26 10,6712
5 2020-08-26 11,6649
5 2020-08-26 12,6715
5 2020-08-26 13,6793
5 2020-08-26 14,6857
5 2020-08-26 15,6881
5 2020-08-26 16,6818
5 2020-08-26 17,6702
5 2020-08-26 18,6551
5 2020-08-26 19,6436
5 2020-08-26 20,6243
5 2020-08-26 21,6141
5 2020-08-26 22,6062
5 2020-08-26 23,5886
5 2020-08-27 00,5654
5 2020-08-27 01,5751
5 2020-08-27 02,5777
5 2020-08-27 03,5638
5 2020-08-27 04,5470
5 2020-08-27 05,5515
5 2020-08-27 06,6036
5 2020-08-27 07,6395
5 2020-08-27 08,5929
5 2020-08-27 09,5366
5 2020-08-27 10,5205
5 2020-08-27 11,5195
5 2020-08-27 12,5251
5 2020-08-27 13,5318
5 2020-08-27 14,5354
5 2020-08-27 15,5036
5 2020-08-27 16,4671
5 2020-08-27 17,4493
5 2020-08-27 18,4363
5 2020-08-27 19,4329
5 2020-08-27 20,4318
5 2020-08-27 21,4344
5 2020-08-27 22,4382
5 2020-08-27 23,4431
5 2020-08-28 00,4283
5 2020-08-28 01,4314
5 2020-08-28 02,4337
5 2020-08-28 03,4250
5 2020-08-28 04,4169
5 2020-08-28 05,5111
5 2020-08-28 06,6102
5 2020-08-28 07,6379
5 2020-08-28 08,6055
5 2020-08-28 09,5649
5 2020-08-28 10,5333
5 2020-08-28 11,5280
5 2020-08-28 12,5376
5 2020-08-28 13,5733
5 2020-08-28 14,6162
5 2020-08-28 15,6270
5 2020-08-28 16,6260
5 2020-08-28 17,6216
5 2020-08-28 18,6151
5 2020-08-28 19,5866
5 2020-08-28 20,5318
5 2020-08-28 21,4966
5 2020-08-28 22,4700
5 2020-08-28 23,4488
5 2020-08-29 00,4258
5 2020-08-29 01,4167
5 2020-08-29 02,4134
5 2020-08-29 03,4045
5 2020-08-29 04,3833
5 2020-08-29 05,4209
5 2020-08-29 06,5592
5 2020-08-29 07,6335
5 2020-08-29 08,6150
5 2020-08-29 09,5984
5 2020-08-29 10,6076
5 2020-08-29 11,6300
5 2020-08-29 12,6504
5 2020-08-29 13,6645
5 2020-08-29 14,6726
5 2020-08-29 15,6699
5 2020-08-29 16,6539
5 2020-08-29 17,6403
5 2020-08-29 18,6273
5 2020-08-29 19,6161
5 2020-08-29 20,5849
5 2020-08-29 21,5579
5 2020-08-29 22,5352
5 2020-08-29 23,5126
5 2020-08-30 00,4854
5 2020-08-30 01,4879
5 2020-08-30 02,4969
5 2020-08-30 03,5007
5 2020-08-30 04,5561
5 2020-08-30 05,6485
5 2020-08-30 06,7149
5 2020-08-30 07,7217
5 2020-08-30 08,7193
5 2020-08-30 09,7043
5 2020-08-30 10,6835
5 2020-08-30 11,6701
5 2020-08-30 12,6756
5 2020-08-30 13,6849
5 2020-08-30 14,6999
5 2020-08-30 15,7116
5 2020-08-30 16,7205
5 2020-08-30 17,7148
5 2020-08-30 18,7004
5 2020-08-30 19,6735
5 2020-08-30 20,6426
5 2020-08-30 21,6148
5 2020-08-30 22,5917
5 2020-08-30 23,5572
5 2020-08-31 00,5144
5 2020-08-31 01,5074
5 2020-08-31 02,5041
5 2020-08-31 03,5018
5 2020-08-31 04,5158
5 2020-08-31 05,5842
5 2020-08-31 06,6431
5 2020-08-31 07,7070
5 2020-08-31 08,6936
5 2020-08-31 09,6670
5 2020-08-31 10,6510
5 2020-08-31 11,6508
5 2020-08-31 12,6573
5 2020-08-31 13,6640
5 2020-08-31 14,6735
5 2020-08-31 15,6771
5 2020-08-31 16,6771
5 2020-08-31 17,6633
5 2020-08-31 18,6422
5 2020-08-31 19,6139
5 2020-08-31 20,5989
5 2020-08-31 21,5798
5 2020-08-31 22,5597
5 2020-08-31 23,5385
6 2020-08-25 00,5781
6 2020-08-25 01,5353
6 2020-08-25 02,5450
6 2020-08-25 03,5728
6 2020-08-25 04,5820
6 2020-08-25 05,5815
6 2020-08-25 06,5792
6 2020-08-25 07,5812
6 2020-08-25 08,5789
6 2020-08-25 09,5804
6 2020-08-25 10,5894
6 2020-08-25 11,6117
6 2020-08-25 12,6475
6 2020-08-25 13,6826
6 2020-08-25 14,7117
6 2020-08-25 15,7334
6 2020-08-25 16,7493
6 2020-08-25 17,7602
6 2020-08-25 18,7671
6 2020-08-25 19,7648
6 2020-08-25 20,7596
6 2020-08-25 21,7521
6 2020-08-25 22,7435
6 2020-08-25 23,7440
6 2020-08-26 00,7497
6 2020-08-26 01,7702
6 2020-08-26 02,7693
6 2020-08-26 03,7613
6 2020-08-26 04,7488
6 2020-08-26 05,7152
6 2020-08-26 06,6561
6 2020-08-26 07,6194
6 2020-08-26 08,6315
6 2020-08-26 09,6596
6 2020-08-26 10,6874
6 2020-08-26 11,6987
6 2020-08-26 12,7064
6 2020-08-26 13,7124
6 2020-08-26 14,7314
6 2020-08-26 15,7474
6 2020-08-26 16,7573
6 2020-08-26 17,7605
6 2020-08-26 18,7598
6 2020-08-26 19,7526
6 2020-08-26 20,7463
6 2020-08-26 21,7393
6 2020-08-26 22,7319
6 2020-08-26 23,7271
6 2020-08-27 00,7245
6 2020-08-27 01,7295
6 2020-08-27 02,7214
6 2020-08-27 03,7087
6 2020-08-27 04,6993
6 2020-08-27 05,6937
6 2020-08-27 06,6714
6 2020-08-27 07,6266
6 2020-08-27 08,6422
6 2020-08-27 09,6507
6 2020-08-27 10,6578
6 2020-08-27 11,6735
6 2020-08-27 12,6847
6 2020-08-27 13,6880
6 2020-08-27 14,6854
6 2020-08-27 15,6858
6 2020-08-27 16,6899
6 2020-08-27 17,7027
6 2020-08-27 18,7154
6 2020-08-27 19,7251
6 2020-08-27 20,7295
6 2020-08-27 21,7282
6 2020-08-27 22,7162
6 2020-08-27 23,7081
6 2020-08-28 00,6875
6 2020-08-28 01,6589
6 2020-08-28 02,6117
6 2020-08-28 03,5695
6 2020-08-28 04,5310
6 2020-08-28 05,5231
6 2020-08-28 06,5297
6 2020-08-28 07,5622
6 2020-08-28 08,5658
6 2020-08-28 09,5697
6 2020-08-28 10,5758
6 2020-08-28 11,5828
6 2020-08-28 12,5969
6 2020-08-28 13,6245
6 2020-08-28 14,6607
6 2020-08-28 15,6793
6 2020-08-28 16,6893
6 2020-08-28 17,6999
6 2020-08-28 18,7114
6 2020-08-28 19,7220
6 2020-08-28 20,7234
6 2020-08-28 21,7241
6 2020-08-28 22,7217
6 2020-08-28 23,7182
6 2020-08-29 00,7151
6 2020-08-29 01,7154
6 2020-08-29 02,7095
6 2020-08-29 03,6915
6 2020-08-29 04,6365
6 2020-08-29 05,5923
6 2020-08-29 06,5369
6 2020-08-29 07,4916
6 2020-08-29 08,4975
6 2020-08-29 09,5051
6 2020-08-29 10,5270
6 2020-08-29 11,5499
6 2020-08-29 12,5683
6 2020-08-29 13,5891
6 2020-08-29 14,6062
6 2020-08-29 15,6216
6 2020-08-29 16,6264
6 2020-08-29 17,6089
6 2020-08-29 18,5961
6 2020-08-29 19,5809
6 2020-08-29 20,5589
6 2020-08-29 21,5595
6 2020-08-29 22,5624
6 2020-08-29 23,5641
6 2020-08-30 00,5599
6 2020-08-30 01,5528
6 2020-08-30 02,5448
6 2020-08-30 03,5355
6 2020-08-30 04,5255
6 2020-08-30 05,5137
6 2020-08-30 06,5034
6 2020-08-30 07,4895
6 2020-08-30 08,4938
6 2020-08-30 09,4986
6 2020-08-30 10,5048
6 2020-08-30 11,5141
6 2020-08-30 12,5309
6 2020-08-30 13,5536
6 2020-08-30 14,5756
6 2020-08-30 15,6001
6 2020-08-30 16,6306
6 2020-08-30 17,6635
6 2020-08-30 18,6805
6 2020-08-30 19,6931
6 2020-08-30 20,7132
6 2020-08-30 21,7269
6 2020-08-30 22,7331
6 2020-08-30 23,7316
6 2020-08-31 00,7300
6 2020-08-31 01,7264
6 2020-08-31 02,7168
6 2020-08-31 03,6998
6 2020-08-31 04,6686
6 2020-08-31 05,6232
6 2020-08-31 06,5913
6 2020-08-31 07,5807
6 2020-08-31 08,5805
6 2020-08-31 09,5805
6 2020-08-31 10,5923
6 2020-08-31 11,6178
6 2020-08-31 12,6467
6 2020-08-31 13,6667
